start_time,end_time,t3_duration,t3_max_int,default_color
2011-01-22 08:29:30,2011-01-22 08:41:30,12.0,38.88447570800781,green
2011-01-27 09:06:30,2011-01-27 09:17:30,11.0,30.65077018737793,green
2011-01-27 12:15:30,2011-01-27 12:31:30,16.0,42.52717971801758,green
2011-02-17 21:37:30,2011-02-17 22:05:30,28.0,80.71452331542969,green
2011-03-07 20:07:30,2011-03-07 20:55:30,48.0,94.2623291015625,green
2011-04-03 18:41:30,2011-04-03 18:55:30,14.0,83.24539947509766,green
2011-04-03 19:03:30,2011-04-03 19:20:30,17.0,61.813411712646484,green
2011-04-07 11:27:30,2011-04-07 11:37:30,10.0,28.7575626373291,green
2011-04-13 06:03:30,2011-04-13 06:14:30,11.0,54.33772277832031,green
2011-04-20 20:12:30,2011-04-20 20:24:30,12.0,35.8011474609375,green
2011-05-15 23:39:30,2011-05-16 00:05:30,26.0,63.16709518432617,green
2011-06-07 06:31:30,2011-06-07 07:35:30,64.0,193.13998413085938,green
2011-06-21 03:06:30,2011-06-21 03:24:30,18.0,61.043521881103516,green
2011-06-23 12:50:30,2011-06-23 13:04:30,14.0,35.579917907714844,green
2011-06-24 15:51:30,2011-06-24 16:24:30,33.0,65.95269012451172,green
2011-06-25 07:50:30,2011-06-25 08:00:30,10.0,31.570594787597656,green
2011-06-25 10:28:30,2011-06-25 10:47:30,19.0,47.33940505981445,green
2011-07-03 00:16:30,2011-07-03 00:42:30,26.0,44.23677444458008,green
2011-07-08 03:05:30,2011-07-08 03:16:30,11.0,46.08870315551758,green
2011-07-12 15:47:30,2011-07-12 16:05:30,18.0,111.31251525878906,green
2011-07-12 16:42:30,2011-07-12 16:55:30,13.0,141.1585693359375,green
2011-07-16 18:03:30,2011-07-16 18:42:30,39.0,76.61028289794922,green
2011-07-30 12:23:30,2011-07-30 12:36:30,13.0,36.42176818847656,green
2011-07-31 19:09:30,2011-07-31 19:44:30,35.0,105.03412628173828,green
2011-08-02 06:24:30,2011-08-02 07:01:30,37.0,167.3062286376953,green
2011-08-03 13:38:30,2011-08-03 14:06:30,28.0,57.40100860595703,green
2011-08-04 04:12:30,2011-08-04 04:47:30,35.0,56.181644439697266,green
2011-08-08 18:10:30,2011-08-08 18:48:30,38.0,97.59575653076172,green
2011-08-09 08:10:30,2011-08-09 08:52:30,42.0,84.72227478027344,green
2011-09-06 02:05:30,2011-09-06 02:39:30,34.0,85.00813293457031,green
2011-09-06 22:36:30,2011-09-06 23:08:30,32.0,49.0519905090332,green
2011-09-13 12:32:30,2011-09-13 12:55:30,23.0,53.31265640258789,green
2011-09-22 10:59:30,2011-09-22 11:28:30,29.0,68.0631103515625,green
2011-09-27 01:45:30,2011-09-27 01:59:30,14.0,40.33045196533203,green
2011-10-01 01:18:30,2011-10-01 01:28:30,10.0,41.6252555847168,green
2011-10-01 09:19:30,2011-10-01 09:32:30,13.0,34.4217414855957,green
2011-10-02 11:17:30,2011-10-02 11:42:30,25.0,51.20798873901367,green
2011-10-02 22:00:30,2011-10-02 22:21:30,21.0,47.60514831542969,green
2011-10-21 13:12:30,2011-10-21 13:38:30,26.0,64.86868286132812,green
2011-11-09 13:31:30,2011-11-09 13:54:30,23.0,66.49525451660156,green
2011-11-11 07:08:30,2011-11-11 07:23:30,15.0,36.198238372802734,green
2011-11-15 09:20:30,2011-11-15 09:33:30,13.0,41.90170669555664,green
2011-11-24 01:14:30,2011-11-24 01:39:30,25.0,67.99732971191406,green
2011-11-25 14:08:30,2011-11-25 14:42:30,34.0,58.100318908691406,green
2011-12-24 12:10:30,2011-12-24 12:37:30,27.0,75.40711975097656,green
2011-12-28 20:35:30,2011-12-28 21:01:30,26.0,35.17454147338867,green
2011-12-30 05:40:30,2011-12-30 05:57:30,17.0,34.571128845214844,green
2012-01-13 09:19:30,2012-01-13 09:36:30,17.0,43.45848846435547,green
2012-01-23 03:01:30,2012-01-23 03:16:30,15.0,46.38934326171875,green
2012-01-23 04:36:30,2012-01-23 05:13:30,37.0,31.1102352142334,green
2012-01-27 18:25:30,2012-01-27 19:23:30,58.0,201.50555419921875,green
2012-02-16 10:41:30,2012-02-16 10:51:30,10.0,31.213777542114258,green
2012-02-18 05:24:30,2012-02-18 05:46:30,22.0,42.305484771728516,green
2012-03-07 00:30:30,2012-03-07 01:24:30,54.0,456.6917419433594,green
2012-03-10 15:15:30,2012-03-10 15:26:30,11.0,45.12413787841797,green
2012-03-10 17:55:30,2012-03-10 18:12:30,17.0,57.85097885131836,green
2012-03-10 19:10:30,2012-03-10 19:28:30,18.0,74.60560607910156,green
2012-03-13 17:31:30,2012-03-13 18:23:30,52.0,188.32998657226562,green
2012-03-17 20:45:30,2012-03-17 21:05:30,20.0,79.58711242675781,green
2012-03-19 22:10:30,2012-03-19 22:37:30,27.0,69.34855651855469,green
2012-03-28 22:03:30,2012-03-28 22:21:30,18.0,53.59296798706055,green
2012-04-15 09:04:30,2012-04-15 09:14:30,10.0,32.7918815612793,green
2012-04-23 17:47:30,2012-04-23 18:11:30,24.0,49.96401596069336,green
2012-04-28 01:42:30,2012-04-28 02:03:30,21.0,69.79529571533203,green
2012-05-02 19:10:30,2012-05-02 19:34:30,24.0,69.85457611083984,green
2012-05-17 01:47:30,2012-05-17 02:30:30,43.0,109.91030883789062,green
2012-05-26 21:07:30,2012-05-26 21:36:30,29.0,29.459081649780273,green
2012-06-05 05:48:30,2012-06-05 06:07:30,19.0,34.495880126953125,green
2012-06-08 07:21:30,2012-06-08 07:50:30,29.0,84.17619323730469,green
2012-06-28 16:25:30,2012-06-28 16:37:30,12.0,35.75724792480469,green
2012-07-04 16:43:30,2012-07-04 17:11:30,28.0,70.15802001953125,green
2012-07-06 23:17:30,2012-07-07 00:06:30,49.0,58.086387634277344,green
2012-07-09 13:59:30,2012-07-09 14:10:30,11.0,46.80366134643555,green
2012-07-16 14:15:30,2012-07-16 14:51:30,36.0,125.5665054321289,green
2012-07-16 18:59:30,2012-07-16 19:15:30,16.0,210.22462463378906,green
2012-07-16 19:25:30,2012-07-16 19:57:30,32.0,63.482337951660156,green
2012-07-17 14:51:30,2012-07-17 15:04:30,13.0,51.51092529296875,green
2012-07-19 05:38:30,2012-07-19 06:40:30,62.0,162.58546447753906,green
2012-07-23 12:20:30,2012-07-23 12:48:30,28.0,61.0628662109375,green
2012-07-31 22:03:30,2012-07-31 22:44:30,41.0,123.89495849609375,green
2012-08-01 07:20:30,2012-08-01 07:36:30,16.0,39.4300537109375,green
2012-08-13 04:17:30,2012-08-13 04:53:30,36.0,64.03153228759766,green
2012-08-13 09:39:30,2012-08-13 09:56:30,17.0,33.44122314453125,green
2012-08-13 12:37:30,2012-08-13 13:34:30,57.0,121.673095703125,green
2012-08-28 04:21:30,2012-08-28 04:46:30,25.0,55.68175506591797,green
2012-08-29 10:04:30,2012-08-29 10:31:30,27.0,35.78379821777344,green
2012-09-14 13:30:30,2012-09-14 14:03:30,33.0,37.929893493652344,green
2012-09-27 23:53:30,2012-09-28 00:05:30,12.0,31.679140090942383,green
2012-09-28 00:11:30,2012-09-28 01:11:30,60.0,113.76700592041016,green
2012-10-04 14:41:30,2012-10-04 14:51:30,10.0,40.00111770629883,green
2012-10-09 07:08:30,2012-10-09 07:20:30,12.0,79.77281188964844,green
2012-11-15 22:10:30,2012-11-15 22:42:30,32.0,69.2083740234375,green
2012-11-17 18:20:30,2012-11-17 18:37:30,17.0,51.26158905029297,green
2012-11-18 04:12:30,2012-11-18 04:40:30,28.0,65.23799896240234,green
2012-11-20 12:50:30,2012-11-20 13:11:30,21.0,57.02125549316406,green
2012-11-24 13:44:30,2012-11-24 14:36:30,52.0,73.17860412597656,green
2012-12-20 22:12:30,2012-12-20 22:46:30,34.0,46.92529296875,green
2013-01-18 00:04:30,2013-01-18 00:17:30,13.0,53.18820571899414,green
2013-02-05 08:38:30,2013-02-05 08:54:30,16.0,39.24365997314453,green
2013-04-11 07:19:30,2013-04-11 07:58:30,39.0,97.63949584960938,green
